Date,AAPL,AMZN,HD,INTC,MA,MSFT,PEP,PG,T,V
2019-05-24,176.85928344726562,1823.280029296875,188.59861755371094,43.566917419433594,250.1494598388672,124.70545196533203,125.93799591064453,104.01508331298828,30.407840728759766,161.6289825439453
2019-05-28,176.1280059814453,1836.4300537109375,186.61122131347656,42.589420318603516,252.089111328125,124.6264419555664,124.11943054199219,101.84099578857422,30.08745765686035,162.6923370361328
2019-05-29,175.28802490234375,1819.18994140625,185.09146118164062,43.23456573486328,252.21844482421875,123.4212646484375,124.64458465576172,101.57776641845703,30.068613052368164,161.71841430664062
2019-05-30,176.1971893310547,1816.3199462890625,186.15335083007812,43.72331619262695,252.84512329101562,124.20165252685547,125.07247924804688,102.6891860961914,30.02149772644043,161.74822998046875
2019-05-31,173.00527954101562,1775.0699462890625,184.95506286621094,43.04884338378906,250.15940856933594,122.17657470703125,124.47925567626953,100.32986450195312,28.81536102294922,160.32713317871094
2019-06-03,171.25613403320312,1692.68994140625,184.68228149414062,42.48189926147461,240.9782257080078,118.38324737548828,125.43229675292969,101.19754791259766,29.295928955078125,157.61410522460938
2019-06-04,177.52137756347656,1729.56005859375,190.2158203125,43.78196334838867,247.8616180419922,121.66290283203125,125.51983642578125,102.05547332763672,29.663423538208008,161.3209228515625
2019-06-05,180.38714599609375,1738.5,192.9627685546875,43.54736328125,254.90415954589844,124.30044555664062,127.77600860595703,104.05409240722656,29.851882934570312,164.36190795898438
2019-06-06,183.0355682373047,1754.3599853515625,193.43365478515625,44.08498764038086,256.4658203125,126.26625061035156,129.2895050048828,104.68778228759766,30.24764633178711,165.8823699951172
2019-06-07,187.90740966796875,1804.030029296875,193.5612030029297,44.994056701660156,264.3936462402344,129.80271911621094,130.7491455078125,106.04292297363281,30.615144729614258,168.99293518066406
2019-06-10,190.3087615966797,1860.6300048828125,194.2969970703125,45.746726989746094,264.6921081542969,130.9881591796875,130.86668395996094,105.99419403076172,30.08745765686035,169.7581329345703
2019-06-11,192.512451171875,1863.699951171875,194.25775146484375,45.79560089111328,262.2650146484375,130.49423217773438,130.48464965820312,106.63764190673828,30.257070541381836,169.2512969970703
2019-06-12,191.8997802734375,1855.3199462890625,195.1701202392578,45.27752685546875,262.4540100097656,129.8916473388672,130.4258575439453,106.93011474609375,30.323034286499023,170.52334594726562
2019-06-13,191.8602294921875,1870.300048828125,198.51551818847656,45.64897918701172,259.81805419921875,130.7115478515625,130.22994995117188,108.12928771972656,30.42668342590332,168.29727172851562
2019-06-14,190.4668731689453,1869.6700439453125,201.87069702148438,45.150455474853516,258.72381591796875,130.83998107910156,130.0242156982422,108.41201782226562,30.48322105407715,168.6053466796875
2019-06-17,191.6033172607422,1886.030029296875,203.05776977539062,45.0918083190918,257.82861328125,131.23512268066406,129.81851196289062,108.207275390625,30.436105728149414,168.50596618652344
2019-06-18,196.10952758789062,1901.3699951171875,203.54827880859375,46.30389404296875,257.4406433105469,133.51702880859375,129.36788940429688,106.85212707519531,30.568025588989258,168.22772216796875
2019-06-19,195.536376953125,1908.7900390625,203.9995880126953,46.010650634765625,258.49505615234375,134.0406036376953,130.14178466796875,107.65156555175781,30.539758682250977,169.6289520263672
2019-06-20,197.1076202392578,1918.18994140625,207.24685668945312,46.12794494628906,265.3784484863281,135.28524780273438,131.4250946044922,108.9384765625,30.66225814819336,172.6599884033203
2019-06-21,196.4356231689453,1911.300048828125,205.422119140625,46.39187240600586,263.0707092285156,135.30503845214844,131.2291717529297,108.41201782226562,30.577449798583984,172.3618621826172
2019-06-24,196.2379913330078,1913.9000244140625,201.60581970214844,46.55805206298828,263.89630126953125,136.1051788330078,131.40548706054688,109.51368713378906,30.699953079223633,172.76930236816406
2019-06-25,193.2635040283203,1878.27001953125,200.86021423339844,45.79560089111328,258.3558044433594,131.80804443359375,131.0821990966797,108.9189682006836,30.671680450439453,170.2152862548828
2019-06-26,197.44361877441406,1897.8299560546875,202.50839233398438,47.10544204711914,259.9175109863281,132.30197143554688,129.62258911132812,106.97887420654297,30.65283203125,169.9966583251953
2019-06-27,197.3843231201172,1904.280029296875,203.09701538085938,46.39187240600586,259.71856689453125,132.519287109375,129.00543212890625,107.0276107788086,31.076868057250977,170.16558837890625
2019-06-28,195.5857696533203,1893.6300048828125,204.0290069580078,46.79264450073242,263.13043212890625,132.3316192626953,128.45684814453125,106.90087127685547,31.57628059387207,172.47117614746094
2019-07-01,199.17298889160156,1922.18994140625,206.29522705078125,46.968597412109375,265.3585510253906,134.03070068359375,129.18174743652344,107.71981048583984,31.50090217590332,172.85874938964844
2019-07-02,200.33905029296875,1934.31005859375,206.1578826904297,47.037017822265625,269.1384582519531,134.9197540283203,129.73033142089844,108.68499755859375,31.887237548828125,174.19041442871094
2019-07-03,201.99923706054688,1939.0,208.0807647705078,47.42802047729492,271.6351318359375,135.7890625,131.258544921875,111.21981048583984,32.019161224365234,175.77053833007812
2019-07-05,201.82135009765625,1942.9100341796875,207.45289611816406,46.99791717529297,270.7001647949219,135.39393615722656,130.30831909179688,110.31312561035156,32.32069778442383,175.56185913085938
